ebitdaMargins,profitMargins,grossMargins,revenueGrowth,operatingMargins,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,debtToEquity,returnOnEquity,totalCashPerShare,revenuePerShare,quickRatio,enterpriseToRevenue,enterpriseToEbitda,forwardEps,heldPercentInstitutions,priceToBook,shortRatio,beta,earningsQuarterlyGrowth,priceToSalesTrailing12Months,pegRatio,forwardPE,trailingPE,dividendYield,Ticker
0.42865002,0.25142,0.55445,0.028,0.27943,-0.209,2.102,0.08586001,40,40.508,0.22522,6.978,19.469,1.38,2.584,6.028,3.7,0.64962995,2.1538532,1.32,0.535554,-0.211,2.455413,3.18,12.894594,9.249709,0.0307,INTC
0.34803,0.22264,0.6827,0.104,0.26923,1.723,1.348,0.08842,18,46.946,0.30412,12.022,35.627,1.037,4.467,12.836,10.38,0.70384,6.218626,1.89,0.710591,1.725,4.6602144,2.13,15.992292,24.809446,0.026800001,JNJ
0,0.36925,0,-0.022,0.45828,-0.122,,0.01356,26,,0.16856001,479.681,43.322,,-2.529,,11.97,0.71874,1.7135081,0.92,1.11636,-0.143,3.4233027,1.06,12.361737,9.3598585,0.0277,JPM
0.25506002,0.08758,0.34428,-0.018,0.21989,0.209,1.13,0.03741,21,47.922,0.04646,1.855,21.455,0.5,2.557,10.025,2.64,0.77628,0.97324973,1.81,1.078961,0.228,1.8510623,-5.44,15.049242,21.383207,0.044299997,KHC
0.35199,0.23313999,0.60723996,0.161,0.31123,0.425,1.516,0.07831,25,172.826,0.39722002,3.443,8.771,1.173,7.651,21.735,2.43,0.69682,12.2395315,1.62,0.686233,0.423,7.1815124,2.72,25.864197,30.945349,0.0279,KO
0.32959,0.12425,0.43028998,0.141,0.17907,0.364,0.745,0.04058,15,31.265,0.08326,5.522,59.573,0.547,5.309,16.107,10.32,0.78221,3.440185,1.27,0.864246,0.332,4.951774,,28.82655,43.774277,0.014400001,LIN
0.34789002,0.21515,0.76413,0.18,0.29496,-0.083,1.302,0.11108,,215.45,0.92237,4.249,30.578,0.793,8.955,25.742,7.49,0.84056,29.332321,1.8,0.362392,-0.081,8.6446,5.2,33.491325,38.29771,0.0151,LLY
0.13229,0.091309994,0.13438,-0.028,0.114259996,-0.635,1.421,0.09235,17,121.213,0.8289,9.888,238.615,1.177,1.64,12.394,26.28,0.74662,11.649786,1.67,0.92,-0.638,1.7021358,3.22,15.581811,18.862684,0.0309,LMT
0.15587,0.08625,0.33075002,0.027,0.13666001,2,1.193,0.16221,30,,6.57829,9.955,133.88,0.342,2.093,13.427,12.9,0.77269995,,2.06,1.294025,1.74,1.5508167,1.3,16.990698,19.11398,0.012300001,LOW
0.57505,0.45497,1,0.299,0.53643,0.616,1.331,0.17801,37,203.778,1.2762,7.039,17.927,0.917,20.629,35.874,10.53,0.76728,54.16642,1.23,1.139381,0.596,20.38745,1.73,35.05128,45.39852,0.0054,MA
0.49820998,0.32332,0.53709,0.145,0.41605,0.217,1.334,0.11328,34,,,5.765,30.191,1.204,10.882,21.843,10.14,0.68961996,,2.41,0.580259,0.22,8.274306,1.32,24.60059,25.716496,0.020599999,MCD
0.21834,0.15702,0.3982,0.078,0.17813998,0.141,0.733,0.047280002,22,73.834,0.16312,2.438,20.092,0.472,3.873,17.739,3.1,0.7893,3.3620386,1.25,0.722597,0.124,3.283787,2.62,21.535484,21.254377,0.0211,MDLZ
0.30181,0.14793,0.67627,0.026,0.21662001,1.694,2.913,0.045879997,25,49.125,0.09233,7.935,23.628,2.071,4.958,16.428,6.16,0.82773,2.7377841,1.28,0.810389,1.681,4.4753833,1.63,17.181818,30.519032,0.023699999,MDT
0.11817,0.07821,0.28012,0.056,0.112320006,1.565,0.969,0.00641,12,157.915,0.07728,39.128,80.17,0.743,1.867,15.803,7.2,0.76134,0.83854157,1.59,1.25974,1.244,0.81907034,0.92,9.5222225,11.441922,0.0296,MET
0.28613,0.16764,0.48024,0.071,0.23218,0,1.705,0.10945,19,130.812,0.44799998,9.95,60.915,1.105,3.318,11.595,10.37,0.6844,5.998087,3.86,0.950649,0.003,2.455184,2.37,14.513982,14.885767,0.0328,MMM
0.5759,0.13164,0.65674,-0.026,0.56380004,,0.742,0.17232001,17,,2.7119799,1.61,11.387,0.369,5.593,9.712,4.83,0.60167,,1.4,0.704004,,4.4861593,2.06,10.658385,34.457832,0.0713,MO
0.40027002,0.13681,0.72669,0.204,0.33821,0.548,1.309,0.12133,24,73.728,0.26036,3.976,20.787,0.869,4.011,10.02,7.2,0.7463,5.3845067,1.38,0.494545,0.553,3.6645262,0.87,10.6,26.930134,0.0359,MRK
0,0.25159,0.89189005,0.065,0.39266998,0.111,,,,328.485,0.14382,324.59,33.476,,-0.864,,153.38,0.63833,1.7328594,1.46,1.451019,0.092,2.839285,0,0.6164428,12.0722685,0.0305,MS
